0.4099999, 0, 0, 5, 0.4126069, 0, 11706.83, -2279.862, -10.32725, 0.002485778, 0.05625825, 162.3477, 1.238651, 0.9553084, 1.134473
 
0.4199999, -1, 0, 5, 0.4121149, 0.2075121446811222338625784565, 12311.6, -2280.734, -10.32725, 0.002485778, 0.05625825, 166.5036, 1.227738, 0.9551303, 1.135722
 
0.4299999, -1, -0.01, 5, 0.4116047, 0.2008738690035693341840962832, 12931.4, -2281.606, -10.32725, 0.002485778, 0.05625825, 170.6594, 1.228078, 0.9549521, 1.136971
 
0.4399998, -1, -0.02, 5, 0.4111289, 0.1929457280135871665379857606, 13566.22, -2282.479, -10.32725, 0.002485778, 0.05625825, 174.815, 1.228484, 0.9547739, 1.13822
 
0.4499998, -1, -0.03, 5, 0.4106347, 0.1837548270054625768729862992, 14216.02, -2283.352, -10.32725, 0.002485778, 0.05625825, 178.9704, 1.228956, 0.9545957, 1.139469
 
0.4599998, -1, -0.04, 5, 0.4101222, 0.1733260650285985980954980554, 14880.78, -2284.225, -10.32725, 0.002485778, 0.05625825, 183.1256, 1.229493, 0.9544175, 1.140718
 
0.4699998, -1, -0.05, 5, 0.409644, 0.1616840259545577183915870062, 15560.47, -2285.099, -10.32725, 0.002485778, 0.05625825, 187.2805, 1.230094, 0.9542395, 1.141966
 
0.4799998, -1, -0.05999999, 5, 0.4091477, 0.1488513237933990214452305089, 16255.06, -2285.974, -10.32725, 0.002485778, 0.05625825, 191.4351, 1.23076, 0.9540613, 1.143215
 
0.4899998, -1, -0.06999999, 5, 0.4086329, 0.1348499737172843983828507076, 16964.52, -2286.85, -10.32725, 0.002485778, 0.05625825, 195.5893, 1.231488, 0.9538831, 1.144464
 
0.4999998, -0.9306374, -0.07999999, 5, 0.4081527, 0.1197026212540574601272191946, 17688.82, -2287.726, -10.32725, 0.002485778, 0.05625825, 199.7431, 1.232279, 0.953705, 1.145713
 
0.5099998, -0.7662548, -0.08930636, 5, 0.4076541, 0.1034818991370712647125867478, 18427.92, -2288.602, -10.32725, 0.002485778, 0.05625825, 203.8965, 1.23313, 0.9535267, 1.146962
 
0.5199998, -0.5847468, -0.09696891, 5, 0.4073673, 0.0863899151565754292310863199, 19182.87, -2289.479, -10.32725, 0.002485778, 0.05625825, 208.0551, 1.234031, 0.9533486, 1.148211
 
